Station ID,Property/Business Name,Street Address,Hours of Operation,Charger Fee(per Hour),Latitude,Longitude,Location,Latitude.1,Longitude.1
435,Ohana Waikiki West,2330 Kuhio Avenue,00:00-23:59,$0,21.278943,-157.825025,"(21.278943, -157.825025)",,
845,Wyndham Waikiki Beachwalk Hotel,227 Lewers Street,00:00-23:59,$6,21.27904,-157.8307,"(21.27904, -157.8307)",,
357,Embassy Suites Waikiki,201 Beach Walk Street,00:00-23:59,$0,21.279117,-157.8317518,"(21.279117, -157.8317518)",,
477,Waikiki Trade Center,2255 Kuhio Avenue,00:00-23:59,$0,21.2797361,-157.8267701,"(21.2797361, -157.8267701)",,
353,DFS Waikiki Galleria,330 Royal  Hawaiian Avenue,09:00-23:00,$0,21.280353,-157.828807,"(21.280353, -157.828807)",,
827,Bank of Hawaii,2155 Kalakaua Ave.,00:00-23:59,$0,21.28039,-157.83044,"(21.28039, -157.83044)",,
433,Ohana Waikiki Malia,2211 Kuhio Avenue,00:00-23:59,$0,21.280977,-157.828257,"(21.280977, -157.828257)",,
655,Hawaii Kai Towne Center,333 Keahole St,00:00-23:59,$2.50,21.28302,-157.71103,"(21.28302, -157.71103)",,
375,Hilton Hawaiian Village,2003 Kalia Rd.,00:00-23:59,$2,21.2836659,-157.8377792,"(21.2836659, -157.8377792)",,
825,Kaimuki Plaza,3465 Waialae Avenue,00:00-23:59,$0,21.28377,-157.80162,"(21.28377, -157.80162)",,
611,Maile Sky Court,2058 Kuhio Ave,08:00-22:00,$1.25,21.28396,-157.83093,"(21.28396, -157.83093)",,
355,Double Tree by Hilton Alana Waikiki Hotel,1956 Ala Moana Blvd,00:00-23:59,$4,21.285758,-157.8340547,"(21.285758, -157.8340547)",,
371,Prince Waikiki Hotel (Hawaii Prince Hotel Waikiki),100 Holomoana St.,00:00-23:59,$2.30,21.286515,-157.840211,"(21.286515, -157.840211)",,
395,Kaimuki Shopping Center,3221 Waialae Ave,00:00-23:59,$0,21.2866121,-157.8077935,"(21.2866121, -157.8077935)",,
369,Hawaii Convention Center,1801 Kalakaua Ave,00:00-23:59,$2.00,21.289814,-157.83592,"(21.289814, -157.83592)",,
505,Ala Moana Hotel,410 Atkinson Dr.,00:00-23:59,$0,21.2901711,-157.8393701,"(21.2901711, -157.8393701)",,
773,Ala Moana Center,1450 Ala Moana Blvd,00:00-23:59,$0,21.29046,-157.84373,"(21.29046, -157.84373)",,
771,Ala Moana Center,1450 Ala Moana Blvd,09:30-21:30,$0,21.29046,-157.84373,"(21.29046, -157.84373)",,
453,The Pan Am Building,1600 Kapiolani Boulevard,06:00-22:00,$5,21.292087,-157.83915,"(21.292087, -157.83915)",,
381,Hokua Condominium,1288 Ala Moana Blvd,06:00-02:00,$2,21.292395,-157.849957,"(21.292395, -157.849957)",,
597,Ward Center - OUT OF SERVICE,1200 Ala Moana Blvd,00:00-23:59,$0,21.29272,-157.85245,"(21.29272, -157.85245)",,
775,Ward Village,1170 Auahi Street,09:00-20:00,$0,21.2934,-157.85119,"(21.2934, -157.85119)",,
403,Kakaako Piano Lot Parking Facility,160 Ahui Street,00:00-23:59,$2,21.293448,-157.8605849,"(21.293448, -157.8605849)",,
659,Pacific Guardian Tower,1440 Kapiolani Blvd,07:00-18:00,$0,21.29361,-157.84262,"(21.29361, -157.84262)",,
529,Ward Village Parking structure- Ward Theater,1044 Auahi Street,09:00-21:30,$0,21.29403,-157.85341,"(21.29403, -157.85341)",,
739,7-Eleven Hawaii Kai,515 Pepeekeo St,00:00-23:59,$2,21.2942,-157.71054,"(21.2942, -157.71054)",,
539,Walmart (Down for maintenance),700 Keeaumoku Street,00:00-23:59,$0.50,21.2949185,-157.8419603,"(21.2949185, -157.8419603)",,
625,Ross,711 Keeaumoku,00:00-23:59,$0,21.29495,-157.84113,"(21.29495, -157.84113)",,
599,Ward Warehouse,1050 Ala Moana Boulevard,00:00-23:59,$0,21.29496,-157.85704,"(21.29496, -157.85704)",,
465,University of Hawaii Lower Campus Parking Garage,2520 Dole Street,05:00-23:59,$2,21.29571,-157.81751,"(21.29571, -157.81751)",,
697,University of Hawaii Lower Campus Parking Garage,2520 Dole Street,05:00-23:59,$2,21.29571,-157.81751,"(21.29571, -157.81751)",,
379,HMSA Center,818 Keeaumoku St.,07:00-23:59,$2,21.296489,-157.8413107,"(21.296489, -157.8413107)",,
649,Ala Moana Building,677 Ala Moana Boulevard,06:00-18:00,$7,21.2974,-157.86209,"(21.2974, -157.86209)",,
815,Gold Bond Building,677 Ala Moana Blvd,09:00-20:00,$0,21.29744,-157.86231,"(21.29744, -157.86231)",,
817,Salt at Kaka'ako,327 Keawe St.,09:00-20:00,$0,21.29842,-157.86159,"(21.29842, -157.86159)",,
487,Neal Blaisdell Center Parking Structure,777 Ward Avenue,06:00-23:59,$0,21.299434,-157.850378,"(21.299434, -157.850378)",,
367,Cool Roof Store,575 Cooke Street,08:00-17:00,$5,21.2994929,-157.85726,"(21.2994929, -157.85726)",,
755,BMW of Hawaii,825 Kapiolani Blvd,00:00-23:59,$0,21.29958,-157.85373,"(21.29958, -157.85373)",,
823,Hale Pawaa,1401 S. Beretania St.,09:00-20:00,$0,21.29964,-157.8394,"(21.29964, -157.8394)",,
819,Green Energy Outlet,724 Ilaniwai,00:00-23:59,$4,21.29974,-157.85703,"(21.29974, -157.85703)",,
821,Green Energy Outlet,724 Ilaniwai,00:00-23:59,$3,21.29974,-157.85703,"(21.29974, -157.85703)",,
581,Kapiolani Medical Center,1319 Punahou Street,00:00-23:59,$2,21.29992,-157.83453,"(21.29992, -157.83453)",,
747,Hawaiian Electric Ward Parking Lot,820 Ward Avenue,00:00-23:59,$2.50,21.30072,-157.85189,"(21.30072, -157.85189)",,
509,Kaiser Permanente Honolulu Clinic,1010 Pensacola St,00:00-23:59,$0,21.3011,-157.84615,"(21.3011, -157.84615)",,
479,Water Front Plaza,500 Ala Moana Blvd.,00:00-23:59,$2,21.3013068,-157.8623317,"(21.3013068, -157.8623317)",,
631,Pacific Park Plaza Parking Garage,711 Kapiolani Blvd.,07:00-20:00,$0,21.30141,-157.85559,"(21.30141, -157.85559)",,
661,Pacific Park Plaza,711 Kapiolani,06:00-20:00,$0,21.30141,-157.85559,"(21.30141, -157.85559)",,
651,Honolulu Club Building,932 Ward,00:00-23:59,$3,21.30176,-157.8509,"(21.30176, -157.8509)",,
389,Ka`ahumanu Hale parking Garage  First Circuit Court,564 Pohukaina,07:00-17:00,$2,21.3023,-157.861317,"(21.3023, -157.861317)",,
667,Straub Clinic & Hospital - Hawaii Pacific Health,888 S King St,00:00-23:59,$2,21.30258,-157.85054,"(21.30258, -157.85054)",,
777,801 PHASE 1,801 South St,00:00-23:59,$0,21.3027,-157.85648,"(21.3027, -157.85648)",,
483,Fasi Civic Center Parking Structure,650 S. King Street,06:00-23:59,$0,21.304104,-157.855049,"(21.304104, -157.855049)",,
721,City Financial Tower,"201 Merchant Street, Suite 2220",00:00-23:59,$3,21.30719,-157.86142,"(21.30719, -157.86142)",,
669,Pacific Guardian Center,737 Bishop Street,07:30-17:00 ,$2.25,21.30733,-157.86292,"(21.30733, -157.86292)",,
